,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,@Airtel_Presence @PMOIndia @rajnathsingh @thekiranbedi @Consumer2Court stop looting people airtel.u cant take money… https://t.co/E6B4v0I6eT,FALSE,0,Airtel_Presence,04-04-2017 19:11,TRUE,NA,8.49339E+17,103323813,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12_mahima,0,FALSE,FALSE,NA,NA
2,@Airtel_Presence How pathetic is that i m tweeting again n again frm d last 4 hours and u guys r blind or ignoring… https://t.co/Wk7LzJgiTR,FALSE,0,12_mahima,04-04-2017 19:09,TRUE,8.49335E+17,8.49338E+17,7.2595E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12_mahima,0,FALSE,FALSE,NA,NA
3,@Airtel_Presence @agamyagautam Anytime between 11 to 2 tomorrow.,FALSE,0,Airtel_Presence,04-04-2017 19:09,FALSE,8.49335E+17,8.49338E+17,103323813,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",meghadugar14,0,FALSE,FALSE,NA,NA
4,@reliancejio @JioCare @Airtel_Presence 90days already completed but why rejtd?After so many complaints no result re… https://t.co/HofNBVb3UI,FALSE,0,reliancejio,04-04-2017 19:07,TRUE,NA,8.49338E+17,929129743,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PARESHSARMA,0,FALSE,FALSE,NA,NA
5,"@abhaysengar920 @Airtel_Presence Go for vodafone , atleast they dont loot customers as airtel is doing and on top o… https://t.co/URZAdJaTnO",FALSE,0,abhaysengar920,04-04-2017 19:07,TRUE,8.49146E+17,8.49338E+17,2951457710,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12_mahima,0,FALSE,FALSE,NA,NA
6,@Airtel_Presence Further decision of service continuation depends on response.,FALSE,0,HSauparna,04-04-2017 19:07,FALSE,8.49337E+17,8.49338E+17,4056032774,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HSauparna,0,FALSE,FALSE,NA,NA
7,@Airtel_Presence Still no resolution. I don't need solution now but way forward as waiver on my outstanding bills on both numbers.,FALSE,0,Airtel_Presence,04-04-2017 19:06,FALSE,8.48674E+17,8.49337E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HSauparna,0,FALSE,FALSE,NA,NA
8,@salman9999 @Airtel_Presence Did they charge you some activation fee and claimed that they will refund in bill?,FALSE,0,salman9999,04-04-2017 19:03,FALSE,8.49329E+17,8.49337E+17,104892781,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12_mahima,0,FALSE,FALSE,NA,NA
9,@tiwari_tribhu @Airtel_Presence @airtelindia They cheat customers. Thats what they did with me and now they r not r… https://t.co/b8BG0ZcF8O,FALSE,0,tiwari_tribhu,04-04-2017 19:00,TRUE,8.49333E+17,8.49336E+17,941854748,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12_mahima,0,FALSE,FALSE,NA,NA
10,@Airtel_Presence Saurabh *,FALSE,0,Airtel_Presence,04-04-2017 18:59,FALSE,8.49318E+17,8.49336E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kshiprasri19,0,FALSE,FALSE,NA,NA
11,@Airtel_Presence it is very much a public forum and has a very vast audience!!!,FALSE,0,Airtel_Presence,04-04-2017 18:58,FALSE,8.49318E+17,8.49335E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kshiprasri19,0,FALSE,FALSE,NA,NA
12,@Airtel_Presence 9890355753,FALSE,0,Airtel_Presence,04-04-2017 18:58,FALSE,8.49335E+17,8.49335E+17,103323813,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bhavinshah_shah,0,FALSE,FALSE,NA,NA
13,"@Airtel_Presence saurabS, I hv deleted the tweet as it had my mother's number displaying on dat, but u ppl must hv fair idea of my problem",FALSE,0,Airtel_Presence,04-04-2017 18:58,FALSE,8.49318E+17,8.49335E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kshiprasri19,0,FALSE,FALSE,NA,NA
14,@Airtel_Presence I'm not received any information regarding this issue.,FALSE,0,Airtel_Presence,04-04-2017 18:56,FALSE,8.47699E+17,8.49335E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kandazh,0,FALSE,FALSE,NA,NA
15,@Airtel_Presence Any update on this? I'm not received any information as mentioned in the tweet.,FALSE,0,Airtel_Presence,04-04-2017 18:55,FALSE,8.47699E+17,8.49335E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kandazh,0,FALSE,FALSE,NA,NA
16,@Airtel_Presence https://t.co/Z0Z5adnS5W,FALSE,0,Airtel_Presence,04-04-2017 18:55,FALSE,NA,8.49335E+17,103323813,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12_mahima,0,FALSE,FALSE,NA,NA
17,"RT @Airtel_Presence: @kandazh Hi! As discussed, I have raised a service request 75172049 for network related request.We'll connect with you…",FALSE,0,NA,04-04-2017 18:54,FALSE,NA,8.49334E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kandazh,1,TRUE,FALSE,NA,NA
18,whata pathetic sevices by @Aircel in Up East Lucknow  frompast 7 years bt this time need to switch it onto @reliancejio or @Airtel_Presence,FALSE,1,NA,04-04-2017 18:52,FALSE,NA,8.49334E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",adityanigam171,1,FALSE,FALSE,NA,NA
19,@Airtel_Presence @airtelindia Don't try 2cheat wid ur customers,FALSE,0,tiwari_tribhu,04-04-2017 18:52,FALSE,8.49333E+17,8.49334E+17,941854748,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tiwari_tribhu,0,FALSE,FALSE,NA,NA
20,"@Airtel_Presence @PMOIndia where other carriers r charging a minimal amount, here airtel charged 250 rs activation fe which was nt refunded",FALSE,0,Airtel_Presence,04-04-2017 18:51,FALSE,NA,8.49334E+17,103323813,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12_mahima,0,FALSE,FALSE,NA,NA
